id;self_assessed_level_speed;self_assessed_level_groove;self_assessed_level_creativity;self_assessed_level_adaptability;self_assessed_level_dynamics;self_assessed_level_independence;self_assessed_level_live_performance;self_assessed_level_reading_music;create_date;modify_date
1;2007;56396;32207;84070;21144;8920;32749;53533;2019-05-04T10:27:31;2019-05-04T07:44:09
2;89052;34292;59359;47396;67910;35510;78917;64882;2019-05-04T01:22:14;2019-05-04T01:49:23
3;8692;58419;53710;73682;58684;55774;74543;58653;2019-05-04T02:58:24;2019-05-03T23:47:10
4;12758;37877;28377;33744;36308;89964;64591;60755;2019-05-03T23:38:04;2019-05-04T07:28:07
5;35609;49824;98651;33034;60577;93369;23722;753;2019-05-04T10:53:25;2019-05-04T07:55:30
6;15285;36535;24595;48780;16068;85081;18656;8788;2019-05-04T06:29:27;2019-05-03T17:59:33
7;17337;5565;89676;84231;8023;5163;52451;1824;2019-05-04T03:29:01;2019-05-03T20:36:22
8;98237;99725;11203;89661;39785;57599;96947;91739;2019-05-03T16:33:40;2019-05-04T13:12:21
9;81707;97506;25790;49074;17088;72289;66864;82086;2019-05-03T15:01:41;2019-05-03T20:05:25
10;55676;53503;57161;47661;27997;83858;76949;20507;2019-05-04T08:50:38;2019-05-03T14:06:05
