id;actual_bpm;actual_minutes;create_date;modify_date
1;18452;98625;2019-05-04T08:18:31;2019-05-04T00:27:18
2;37047;92404;2019-05-04T01:42:16;2019-05-04T07:39:58
3;61825;75995;2019-05-04T04:28:45;2019-05-04T00:34:58
4;46253;72051;2019-05-03T19:23:38;2019-05-04T11:50:12
5;3668;14773;2019-05-04T07:16:28;2019-05-04T10:08:17
6;71334;68716;2019-05-03T15:50:53;2019-05-03T17:04:00
7;51167;74961;2019-05-04T00:33:44;2019-05-04T12:36:06
8;10717;86721;2019-05-04T02:35:42;2019-05-04T04:50:01
9;53261;39716;2019-05-04T07:30:49;2019-05-04T10:48:58
10;26924;73740;2019-05-04T04:16:41;2019-05-04T08:57:29
